Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Samsung,לא זמין,Android,186 גרם,לא זמין,סמארטפון,מסך מגע,6GB,2000 2400 MHz,4,6.4 אינטש,לא זמין,1080x2400‏ פיקסלים,411 ppi,90 Hz,Super AMOLED,IP67,לא זמין,microSDXC,13‏ מגה פיקסל,48 + 8 + 5 + 2 מגה פיקסל,כולל,כולל,995,1249,אופציונאלי,5.1,"5,000 mAh",10
Samsung,לא זמין,Android,189 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.5 אינטש,לא זמין,1080x2400‏ פיקסלים,405 ppi,120 Hz,Super AMOLED,IP67,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,1224,1578,אופציונאלי,5.1,"5,000 mAh",10
Xiaomi,לא זמין,לא זמין,192 גרם,לא זמין,סמארטפון,מסך מגע,4GB,1800 2000 MHz,4,לא זמין,לא זמין,לא זמין,268 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,5‏ מגה פיקסל,לא זמין,כולל,כולל,519,639,אופציונאלי,5.1,"5,000 mAh",10
Xiaomi,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,8GB,1800 2200 MHz,5,6.67 אינטש,8 ליבות,1080x2400‏ פיקסלים,395 ppi,120 Hz,AMOLED,ללא,שחור,microSDHC,13‏ מגה פיקסל,48 + 8 + 2 מגה פיקסל,כולל,כולל,1025,1279,כולל,לא זמין,"5,000 mAh",10
לא זמין,2021,Android,182 גרם,לא זמין,סמארטפון,מסך מגע,8GB,1800 2000 MHz,4,לא זמין,לא זמין,לא זמין,401 ppi,לא זמין,IPS LCD,לא זמין,שחור,microSDXC,16‏ מגה פיקסל,לא זמין,כולל,כולל,875,949,כולל,5.0,"5,000 mAh",10
לא זמין,לא זמין,Android,179 גרם,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,4,6.44 אינטש,לא זמין,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,לא זמין,לא זמין,ללא,לא זמין,64 + 8 + 2 מגה פיקסל,כולל,כולל,1949,1979,אופציונאלי,5.2,"4,200 mAh",10
OnePlus,לא זמין,Android,205 גרם,לא זמין,סמארטפון,מסך מגע,16GB,לא זמין,5,6.7 אינטש,לא זמין,1440x3216‏ פיקסלים,525 ppi,120 Hz,לא זמין,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,לא זמין,כולל,כולל,3364,3490,אופציונאלי,לא זמין,"5,000 mAh",10
Xiaomi,לא זמין,Android,185 גרם,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,5,לא זמין,לא זמין,1080x2400‏ פיקסלים,לא זמין,120 Hz,OLED,IP68,לא זמין,ללא,32‏ מגה פיקסל,לא זמין,כולל,כולל,3244,3479,אופציונאלי,לא זמין,"4,500 mAh",10
OnePlus,לא זמין,Android,205 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,5,6.7 אינטש,לא זמין,1440x3216‏ פיקסלים,525 ppi,120 Hz,לא זמין,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,לא זמין,כולל,כולל,3046,3059,אופציונאלי,לא זמין,"5,000 mAh",10
Nokia,2020,KaiOS,104.7 גרם,לא זמין,טלפון רגיל,מקשי ספרות,512MB,1100 MHz,4,2.4 אינטש,לא זמין,240x320‏ פיקסלים,167 ppi,לא זמין,TFT,לא זמין,לא זמין,microSDHC,לא כולל‏ מגה פיקסל,לא זמין,לא זמין,כולל,294,348,לא זמין,4.0,"1,500 mAh",10
לא זמין,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,4GB,2000 MHz,לא זמין,5.7 אינטש,4 ליבות,720x1440‏ פיקסלים,לא זמין,לא זמין,IPS LCD,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,כולל,654,668,לא זמין,5.0,לא זמין,10
Samsung,לא זמין,Android,186 גרם,לא זמין,סמארטפון,מסך מגע,6GB,2000 2400 MHz,4,6.4 אינטש,לא זמין,1080x2400‏ פיקסלים,411 ppi,90 Hz,Super AMOLED,IP67,לא זמין,microSDXC,13‏ מגה פיקסל,48 + 8 + 5 + 2 מגה פיקסל,כולל,כולל,1120,1299,אופציונאלי,5.1,"5,000 mAh",10
OnePlus,לא זמין,Android,204 גרם,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,4,6.7 אינטש,לא זמין,לא זמין,394 ppi,120 Hz,Fluid AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,50 + 8 + 2 מגה פיקסל,כולל,כולל,2490,2899,כולל,5.2,"4,800 mAh",10
לא זמין,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,8GB,2000 2200 MHz,4,לא זמין,לא זמין,לא זמין,401 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,לא זמין,כולל,כולל,1999,1999,אופציונאלי,5.1,לא זמין,10
Huawei,2021,לא זמין,175 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.57 אינטש,4 + 4 ליבות,1080x2340‏ פיקסלים,392 ppi,120 Hz,OLED,לא זמין,לא זמין,ללא,32‏ מגה פיקסל,50 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,1399,1399,כולל,5.2,"4,300 mAh",10
Slider,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,419,419,לא זמין,לא זמין,לא זמין,10
Realme,לא זמין,Android,182 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.4 אינטש,לא זמין,1080x2400‏ פיקסלים,411 ppi,90 Hz,Super AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,50 + 8 + 2 מגה פיקסל,כולל,כולל,1249,1249,אופציונאלי,5.2,"4,500 mAh",10
לא זמין,לא זמין,Android,186 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2400 MHz,4,6.44 אינטש,לא זמין,לא זמין,409 ppi,90 Hz,AMOLED,לא זמין,לא זמין,microSDXC,לא זמין,64 + 8 + 2 מגה פיקסל,כולל,כולל,1599,1599,אופציונאלי,5.2,"4,500 mAh",10
Realme,לא זמין,לא זמין,195 גרם,לא זמין,לא זמין,לא זמין,6GB,לא זמין,4,6.6 אינטש,לא זמין,לא זמין,400 ppi,120 Hz,IPS LCD,לא זמין,לא זמין,לא זמין,16‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,לא זמין,כולל,1199,1199,אופציונאלי,5.1,"5,000 mAh",10
Samsung,2021,Android,196 גרם,לא זמין,סמארטפון,מסך מגע,3GB,1800 2350 MHz,4,6.5 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,270 ppi,לא זמין,PLS LCD,לא זמין,לא זמין,microSDXC,5‏ מגה פיקסל,13 + 2 + 2 מגה פיקסל,כולל,כולל,499,499,אופציונאלי,5.0,"5,000 mAh",10
Xiaomi,לא זמין,Android,205 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.67 אינטש,לא זמין,1080x2400‏ פיקסלים,395 ppi,120 Hz,AMOLED,IP53,לא זמין,microSDXC,16‏ מגה פיקסל,לא זמין,כולל,כולל,1150,1150,אופציונאלי,5.1,"5,000 mAh",10
Realme,לא זמין,Android,182 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.4 אינטש,לא זמין,1080x2400‏ פיקסלים,411 ppi,90 Hz,Super AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,50 + 8 + 2 מגה פיקסל,כולל,כולל,1599,1599,אופציונאלי,5.2,"4,500 mAh",10
Slider,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,479,479,לא זמין,לא זמין,לא זמין,10
לא זמין,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,לא זמין,5.7 אינטש,4 + 4 ליבות,720x1440‏ פיקסלים,לא זמין,לא זמין,IPS LCD,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,כולל,1229,1229,לא זמין,5.0,לא זמין,10
לא זמין,לא זמין,Android,180 גרם,לא זמין,לא זמין,מסך מגע,4GB,לא זמין,לא זמין,לא זמין,4 + 4 ליבות,720x1520‏ פיקסלים,לא זמין,לא זמין,IPS LCD,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,כולל,649,649,לא זמין,4.2,"4,200 mAh",10
לא זמין,לא זמין,Android,180 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,לא זמין,לא זמין,4 + 4 ליבות,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,כולל,699,699,לא זמין,4.2,לא זמין,10
לא זמין,לא זמין,Android,195 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,לא זמין,6.67 אינטש,4 + 4 ליבות,1080x2400‏ פיקסלים,לא זמין,לא זמין,IPS LCD,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,כולל,754,754,לא זמין,4.2,לא זמין,10
Xiaomi,2021,Android,199 גרם,Redmi Note 9T,סמארטפון,מסך מגע,4GB,2000 2400 MHz,4,6.53 אינטש,2 + 6 ליבות,1080x2340‏ פיקסלים,395 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,13‏ מגה פיקסל,48 + 2 + 2 מגה פיקסל,כולל,כולל,499,499,כולל,5.1,"5,000 mAh",10
OPPO,לא זמין,Android,191 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.59 אינטש,4 + 4 ליבות,לא זמין,401 ppi,90 Hz,IPS LCD,לא זמין,לא זמין,microSDXC,16‏ מגה פיקסל,לא זמין,כולל,כולל,1280,1280,ללא,5.0,"5,000 mAh",10
לא זמין,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,8GB,2000 2200 MHz,לא זמין,לא זמין,לא זמין,1080x2300‏ פיקסלים,לא זמין,לא זמין,IPS LCD,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,כולל,1299,1299,לא זמין,5.2,לא זמין,10
Realme,לא זמין,Android,194 גרם,לא זמין,סמארטפון,מסך מגע,4GB,2000 2050 MHz,4,6.6 אינטש,לא זמין,לא זמין,400 ppi,120 Hz,IPS LCD,לא זמין,לא זמין,microSDXC,16‏ מגה פיקסל,לא זמין,כולל,כולל,728,728,ללא,5.1,"5,000 mAh",10
Realme,לא זמין,Android,178 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2200 MHz,4,6.4 אינטש,לא זמין,1080x2400‏ פיקסלים,411 ppi,90 Hz,Super AMOLED,לא זמין,לא זמין,microSDXC,16‏ מגה פיקסל,לא זמין,כולל,כולל,1058,1058,אופציונאלי,לא זמין,"5,000 mAh",10
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1050,1050,לא זמין,לא זמין,לא זמין,10
Xiaomi,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,5,לא זמין,לא זמין,1440x3200‏ פיקסלים,522 ppi,120 Hz,לא זמין,IP68,לא זמין,ללא,32‏ מגה פיקסל,לא זמין,כולל,כולל,4799,4799,אופציונאלי,לא זמין,"4,820 mAh",10
Samsung,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,5,6.8 אינטש,לא זמין,1440x3088‏ פיקסלים,לא זמין,120 Hz,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,לא זמין,כולל,כולל,4390,4390,אופציונאלי,לא זמין,"5,000 mAh",10
Samsung,לא זמין,Android,168 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,5,6.1 אינטש,לא זמין,1080x2340‏ פיקסלים,422 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,ללא,12‏ מגה פיקסל,לא זמין,כולל,כולל,3445,3445,אופציונאלי,לא זמין,לא זמין,10
OnePlus,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1499,1499,לא זמין,לא זמין,לא זמין,11
Xiaomi,לא זמין,Android,205 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.67 אינטש,לא זמין,לא זמין,לא זמין,120 Hz,AMOLED,IP53,לא זמין,ללא,20‏ מגה פיקסל,לא זמין,כולל,כולל,2264,2264,אופציונאלי,5.2,"5,000 mAh",11
Samsung,לא זמין,Android,199 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2600 MHz,5,6.6 אינטש,לא זמין,1080x2340‏ פיקסלים,לא זמין,120 Hz,לא זמין,IP67,לא זמין,microSDXC,13‏ מגה פיקסל,48 + 8 + 5 מגה פיקסל,כולל,כולל,1249,1249,אופציונאלי,לא זמין,"5,000 mAh",11
Xiaomi,לא זמין,Android,185 גרם,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,5,לא זמין,לא זמין,1080x2400‏ פיקסלים,לא זמין,120 Hz,AMOLED,IP68,לא זמין,ללא,32‏ מגה פיקסל,לא זמין,כולל,כולל,3299,3299,אופציונאלי,לא זמין,"4,500 mAh",11
OnePlus,לא זמין,Android,187 גרם,לא זמין,סמארטפון,מסך מגע,4GB,1800 2300 MHz,4,לא זמין,4 + 4 ליבות,לא זמין,269 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,לא זמין,כולל,כולל,999,999,ללא,לא זמין,"5,000 mAh",11
Google,2021,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,5,6.7 אינטש,לא זמין,1440x3120‏ פיקסלים,לא זמין,120 Hz,LTPO AMOLED,IP68,לא זמין,ללא,לא זמין,לא זמין,כולל,כולל,2535,2535,אופציונאלי,5.2,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,329,329,לא זמין,לא זמין,לא זמין,11
Samsung,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,2145,3390,לא זמין,לא זמין,לא זמין,11
Samsung,2021,Android,189 גרם,Galaxy A52,סמארטפון,מסך מגע,8GB,1800 2200 MHz,4,6.5 אינטש,לא זמין,1080x2400‏ פיקסלים,407 ppi,120 Hz,Super AMOLED,IP67,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,1180,1180,אופציונאלי,5.0,"4,500 mAh",11
Samsung,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,5949,5949,לא זמין,לא זמין,לא זמין,11
OPPO,לא זמין,Android,173 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2400 MHz,4,6.43 אינטש,לא זמין,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,לא זמין,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,1629,1629,כולל,5.2,"4,500 mAh",11
לא זמין,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,8GB,2000 2200 MHz,5,לא זמין,לא זמין,לא זמין,401 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,לא זמין,כולל,כולל,1699,1699,אופציונאלי,5.1,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,2380,2380,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,2559,2559,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1659,1659,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,4211,4211,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,3950,3950,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,4100,4100,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,682,682,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,799,799,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1340,1340,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,350,350,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,2625,2625,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,2890,2890,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,2499,2499,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,290,290,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1585,1585,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,650,650,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,620,620,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,690,690,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,685,685,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,199,199,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,199,199,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,850,850,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,399,399,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1649,1649,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,249,249,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,349,349,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,149,149,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,155,155,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,449,449,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,48,48,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,790,790,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,690,690,לא זמין,לא זמין,לא זמין,11
לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1150,1150,לא זמין,לא זמין,לא זמין,11
